,holder1
59.5,12.152837456600414
60.0,20.412528884140666
60.5,12.137498602732009
61.0,13.665489425328827
61.5,21.3301112435704
62.0,16.94535628895844
62.5,11.413325770891518
63.0,17.89745467703645
63.5,13.460081537446724
64.0,11.405273954844018
64.5,19.866087626241022
65.0,15.422199441945674
65.5,13.21940727246739
66.0,19.89197464772749
66.5,21.036209135498083
67.0,13.628253383553039
67.5,20.223441075022173
68.0,18.97448608185433
68.5,10.592390456144795
69.0,15.310440812396124
69.5,14.673066701846722
70.0,6.806648047633294
70.5,13.731036691272262
71.0,16.293981686437725
71.5,10.877663557055477
72.0,18.689916432614723
72.5,20.48404286323101
73.0,15.193292660813906
73.5,20.97754126615135
74.0,18.629354654923475
74.5,11.40468954884051
75.0,17.1487007186061
75.5,17.38331447688357
76.0,10.630611330260662
76.5,18.117108363114546
77.0,16.167338741021855
77.5,10.530908780114732
78.0,18.51147419211466
78.5,17.284560684632446
79.0,12.793584527725557
79.5,17.5618252588289
80.0,17.21862381468692
80.5,10.87081662745896
81.0,19.381413032484588
81.5,22.28596137389297
82.0,12.376156306255194
82.5,19.87471663340287
83.0,22.99081994806405
83.5,13.1397765433298
84.0,20.375007854252942
84.5,22.746440837617875
85.0,14.874675950706568
85.5,14.736330455443486
86.0,19.085725239401622
86.5,12.079440391499944
87.0,12.94260805860722
87.5,20.60655167728936
88.0,12.55112818517974
88.5,12.85258067451894
89.0,24.575837252776658
89.5,13.230345044087233
90.0,11.336923704551019
90.5,27.47574642060186
91.0,20.632741724110875
91.5,11.068814824408927
92.0,24.565144787379545
92.5,15.656712191777467
93.0,13.12251852900489
93.5,24.974835040469827
94.0,20.043941853293735
94.5,14.32288846010746
95.0,24.255539473547437
95.5,27.330178821518366
96.0,20.6404472254895
96.5,23.20865187468591
97.0,16.639776883150674
97.5,14.417432364667073
98.0,23.610283096840135
98.5,22.393167408527287
99.0,13.816316678443874
99.5,14.309382188027817
100.0,14.165221492285854
100.5,11.200688564300087
101.0,20.229155267056075
101.5,14.034473275067784
102.0,7.691074384977377
102.5,12.01256558599262
103.0,16.79735005741629
103.5,15.310289299728177
104.0,21.238709423140556
104.5,20.71824898028367
105.0,11.737411366809486
105.5,22.13345305165778
106.0,21.965140515216977
106.5,11.549319212363198
107.0,14.306568381344835
107.5,14.715133111762146
108.0,8.497464483638213
108.5,21.295220040697544
109.0,22.761494703373845
109.5,11.245474987342792
110.0,11.384570831054496
110.5,18.944847318123422
111.0,12.069736365886829
111.5,11.661027337690687
112.0,16.45974015219638
112.5,13.898003650927205
113.0,15.65250591153093
113.5,16.884707932600012
114.0,15.96615156316474
114.5,16.205325131246482
115.0,18.503988744847984
115.5,15.636936181216388
116.0,17.27682271625335
116.5,22.551145647271753
117.0,14.533602383450056
117.5,13.41049154442357
118.0,13.627034067323867
118.5,15.04997610707693
119.0,16.656988000696813
119.5,19.969260537962782
120.0,17.78953797584267
120.5,17.50136448958235
121.0,21.396459362185524
121.5,21.225953499509764
122.0,20.19453462251794
122.5,15.329105730061844
123.0,11.274128918734547
123.5,9.30479251785939
124.0,10.90561403677628
124.5,8.628869255749034
125.0,11.386702830733988
125.5,14.774223052111774
126.0,14.71883795722873
126.5,16.831851656287103
127.0,24.22748798538143
127.5,21.37226474750245
128.0,11.303767682465669
128.5,16.581812465474464
129.0,17.90824093598952
129.5,9.95979981695741
130.0,15.773124424688984
130.5,18.478974724922537
131.0,8.911750620978346
131.5,14.32049672442706
132.0,19.191336783581505
132.5,8.131950995475119
133.0,9.510716270300353
133.5,14.048899445486533
134.0,7.9473652770495065
134.5,12.77510719717151
135.0,18.12171506969709
135.5,15.648003820837374
136.0,20.108464605008592
136.5,21.217840356906066
137.0,19.006563478043923
137.5,13.543651595941457
138.0,12.385128020642222
138.5,2.529661888992867
139.0,-2.2134313467395343
139.5,-6.853023393303877
140.0,-11.699148850423505
140.5,-14.160151072430237
141.0,-15.15783312877787
141.5,-20.97148601395564
142.0,-27.762186373137016
142.5,-28.30637658569042
143.0,-36.335198782308794
143.5,-38.928543711987366
144.0,-40.773791238128226
144.5,-48.93322096163082
145.0,-53.003908193606435
145.5,-52.61729115531882
146.0,-56.28205791367028
146.5,-61.673618151683655
147.0,-66.27372671857012
147.5,-70.04291456442854
148.0,-72.9915242325425
148.5,-73.84830672294551
149.0,-79.16030477326646
149.5,-84.63644154678036
150.0,-84.56318877945768
150.5,-89.6950563052683
151.0,-94.00866884757038
151.5,-95.81269410580055
152.0,-98.59850702006257
152.5,-104.47119934136748
153.0,-113.40082567320482
153.5,-121.49083734285249
154.0,-121.13770460409611
154.5,-113.73392266539804
155.0,-123.79517907404289
155.5,-130.364504996137
156.0,-128.78333322722494
156.5,-132.2840370187174
157.0,-132.3951823827084
157.5,-127.52335749121393
158.0,-141.44425480825197
158.5,-149.02016523814686
159.0,-144.1809523661126
159.5,-144.59974780903462
160.0,-156.7120997399282
160.5,-163.44535154599149
161.0,-166.34296277169264
161.5,-166.57013076459293
162.0,-158.04884550161555
162.5,-156.8593556230217
163.0,-166.64990218406456
163.5,-164.19661628577006
164.0,-158.16740055653898
164.5,-159.3700215329884
165.0,-155.1098316357802
165.5,-155.64074284525535
166.0,-166.5546079310566
166.5,-159.0605027978244
167.0,-154.41772177035136
167.5,-158.5286933346768
168.0,-158.63955731799956
168.5,-154.42297420949416
169.0,-151.3501530135337
169.5,-142.43925292591751
170.0,-139.2636844966834
170.5,-141.6404132085244
171.0,-141.95143264058697
171.5,-131.51230363903932
172.0,-130.82085754339315
172.5,-129.8228003128205
173.0,-121.32552620020707
173.5,-128.20823803793337
174.0,-129.71559427818622
174.5,-118.65761539342094
175.0,-118.22441903219134
175.5,-121.10262581411081
176.0,-115.07582707267197
176.5,-117.91911379216319
177.0,-120.32901656331134
177.5,-115.28939499993564
178.0,-117.12277764122872
178.5,-120.76178003120555
179.0,-117.60429932852222
179.5,-118.01691161163018
180.0,-121.72635296224621
180.5,-117.09801614241503
181.0,-118.28145633664022
181.5,-121.56953013642976
182.0,-117.6153813979211
182.5,-119.01975231356377
183.0,-121.65657055649982
183.5,-115.765022122972
184.0,-118.46374411294104
184.5,-121.21152013275544
185.0,-113.90636211830693
185.5,-117.91739664859682
186.0,-117.11541123962937
186.5,-105.95384097958402
187.0,-109.69732939106807
187.5,-114.23084092567214
188.0,-105.56431634105743
188.5,-106.68421140101741
189.0,-109.67246069961988
189.5,-103.16704684042827
190.0,-104.66718097686078
190.5,-109.16917787661049
191.0,-106.48818286874692
191.5,-106.09396855241405
192.0,-109.40871940402856
192.5,-105.8675220484073
193.0,-105.37142989291654
193.5,-113.19249575530623
194.0,-111.16107162773011
194.5,-110.31697651951306
195.0,-109.94297471452242
195.5,-109.15886058543839
196.0,-110.51017320787811
196.5,-109.16200266956719
197.0,-111.73611992024306
197.5,-110.28714656122551
198.0,-107.86606071223237
198.5,-114.77568769311787
199.0,-115.88198268744095
199.5,-111.36871252373514
200.0,-113.41816665875163
200.5,-115.13780451464157
201.0,-116.5780246673382
201.5,-116.6391512677633
202.0,-109.11513114362425
202.5,-117.45514448666097
203.0,-123.1267845485325
203.5,-112.92066399247466
204.0,-117.0316103046901
204.5,-127.82319745287722
205.0,-119.84504181378173
205.5,-119.4413543482817
206.0,-121.23575906747074
206.5,-117.70850500005916
207.0,-115.10978033998387
207.5,-112.57594742165763
208.0,-113.8693389157549
208.5,-113.46670482403943
209.0,-113.69180935870452
209.5,-113.91124299066954
210.0,-115.63280206841196
210.5,-113.8934655043424
211.0,-115.88573442968624
211.5,-118.40043346256573
212.0,-118.37323333129395
212.5,-116.86296949080217
213.0,-119.0599897491355
213.5,-116.11384757303594
214.0,-114.91637802728394
214.5,-118.80252643761199
215.0,-118.61794071918635
215.5,-118.54647002942968
216.0,-121.12330729323298
216.5,-124.5727998030886
217.0,-125.12504554220381
217.5,-124.04605519197202
218.0,-123.39799222347104
218.5,-126.68371757691273
219.0,-124.02328860994837
219.5,-121.9188894882742
220.0,-125.74015440244054
220.5,-126.28684096656443
221.0,-125.06896771491364
221.5,-125.41581628541041
222.0,-124.18393171945456
222.5,-124.54416390891953
223.0,-126.34887458159812
223.5,-124.77595664562409
224.0,-124.0612497480619
224.5,-124.97067206810956
225.0,-123.67632099378409
225.5,-124.49964082932252
226.0,-125.93580776048702
226.5,-125.31831788383323
227.0,-119.34292739049792
227.5,-126.06683735837306
228.0,-124.76253695221199
228.5,-123.97852383157223
229.0,-130.1132789560946
229.5,-127.63750424900063
230.0,-123.63298837086109
230.5,-128.8458466323727
231.0,-131.6939817572256
231.5,-128.76970069458872
232.0,-133.067682180021
232.5,-133.8042898729352
233.0,-129.76586762426112
233.5,-136.80816919770922
234.0,-137.39531685896137
234.5,-128.96346375173525
235.0,-132.332528287227
235.5,-134.34683869825662
236.0,-129.85544047034682
236.5,-131.31602258565576
237.0,-135.43648533637054
237.5,-130.62923730825867
238.0,-131.7264530863508
238.5,-136.8019788230061
239.0,-131.77337800247273
239.5,-131.71761773336476
240.0,-135.8662943072471
240.5,-130.07773119832856
241.0,-130.30283573299434
241.5,-137.01076327890814
242.0,-135.06518189984004
242.5,-136.57349772032052
243.0,-145.1372245674378
243.5,-138.69032448817893
244.0,-140.92992702098707
244.5,-145.77797524600746
245.0,-134.94115795910665
245.5,-135.41946180593663
246.0,-141.16980404073965
246.5,-135.4870797450032
247.0,-137.7971847294727
247.5,-138.86377763298378
248.0,-134.38651337249127
248.5,-134.48513729674056
249.0,-142.31553922540797
249.5,-137.963705808991
250.0,-133.13708941154252
250.5,-139.21570909273316
251.0,-138.15335637944656
251.5,-136.9771851858204
252.0,-143.60464507548056
252.5,-140.7641938073398
253.0,-138.72111402669483
253.5,-143.58475362669617
254.0,-143.36790292496846
254.5,-142.12996867464352
255.0,-145.84457227828966
255.5,-146.33506207252537
256.0,-144.35404115902543
256.5,-147.45045504179222
257.0,-147.32974273507804
257.5,-143.62027973979505
258.0,-145.57064459022467
258.5,-145.27275625601746
259.0,-143.9993211447046
259.5,-146.07628565121686
260.0,-144.58393637994206
260.5,-143.33174550908802
261.0,-146.2633100021009
261.5,-145.9898079924827
262.0,-143.75170615657285
262.5,-145.50703452195927
263.0,-143.80741952890241
263.5,-142.42625169606325
264.0,-146.34659867992707
264.5,-148.10483825299792
265.0,-143.17651717372473
265.5,-151.22142496521673
266.0,-152.44918261470366
266.5,-147.16724539911652
267.0,-152.31862198459754
267.5,-150.18181718928702
268.0,-144.2281774216141
268.5,-146.80130983995105
269.0,-149.1239990336948
269.5,-145.21601115457065
270.0,-148.17810545009775
270.5,-150.81234437024042
271.0,-146.9432555647906
271.5,-150.83518310115323
272.0,-153.55531166658193
272.5,-149.09470297718818
273.0,-150.78551941319196
273.5,-158.5054325327613
274.0,-148.67136576168278
274.5,-153.69143136860959
275.0,-161.9096768666825
275.5,-151.58731362760378
276.0,-150.79635256892323
276.5,-158.65400152564064
277.0,-151.1927241370466
277.5,-150.2204601344048
278.0,-155.11442030514058
278.5,-148.85707700278184
279.0,-146.6797533912314
279.5,-154.24026436219015
280.0,-154.9868610688307
280.5,-148.4744461906294
281.0,-156.76261839222684
281.5,-153.8285106508647
282.0,-155.68862445564946
282.5,-159.58049427290052
283.0,-156.82113474890616
283.5,-154.29073972515573
284.0,-158.332852389518
284.5,-155.96545613650966
285.0,-152.64632223987036
285.5,-158.27207416515807
286.0,-156.48946269727656
286.5,-153.28446112864611
287.0,-162.0690249036253
287.5,-165.0243660631121
288.0,-156.92932561587992
288.5,-162.35608008210232
289.0,-161.8621740379573
289.5,-155.24516852235882
290.0,-157.9597416233102
290.5,-159.78632423178487
291.0,-154.60343301145076
291.5,-159.11154525105928
292.0,-162.59150551538403
292.5,-159.02789077836428
293.0,-163.70220159195563
293.5,-164.36327300520088
294.0,-160.18452477425268
294.5,-162.76534826418973
295.0,-163.78787118312908
295.5,-156.49918836755603
296.0,-160.7748036973008
296.5,-163.8920902537461
297.0,-159.90825585472822
297.5,-163.63348698977097
298.0,-166.9883093345112
298.5,-161.5922722579154
299.0,-165.46289783470738
299.5,-167.7959656461791
300.0,-159.45134054613567
300.5,-163.5466753847492
301.0,-168.6763451523214
301.5,-164.34858349133592
302.0,-166.54038017008276
302.5,-171.4108630922352
303.0,-167.3182894946858
303.5,-166.92762490370757
304.0,-171.32250956237942
304.5,-169.03108608982058
305.0,-166.6538415134208
305.5,-171.0914960336787
306.0,-166.16034671794546
306.5,-164.7729993327361
307.0,-171.45579020561212
307.5,-168.6628056917529
308.0,-165.1563335965598
308.5,-178.8584466216368
309.0,-172.96392565386998
309.5,-171.32794958863363
310.0,-181.76484918950183
310.5,-178.31500675753256
311.0,-174.5040807792052
311.5,-182.46433988630724
312.0,-184.34818346078714
312.5,-179.03759231380758
313.0,-190.56228793377915
313.5,-192.68145954054017
314.0,-190.11254783222927
314.5,-201.50049966227942
315.0,-206.23223666283363
315.5,-201.1874095570936
316.0,-204.65034268354026
316.5,-206.0499957833108
317.0,-204.19452475955393
317.5,-208.19041163053123
318.0,-210.6263240762783
318.5,-206.51478975061667
319.0,-210.56991807461088
319.5,-214.36484142928867
320.0,-208.3894559863757
320.5,-212.01811944051394
321.0,-210.63589101900152
321.5,-204.9771850885185
322.0,-211.19540565564512
322.5,-213.40655266650694
323.0,-208.89920953405897
323.5,-213.73028112542278
324.0,-220.9856347615758
324.5,-214.5867100862676
325.0,-222.89339569286426
325.5,-224.12077816812646
326.0,-216.16337615704197
326.5,-223.60979087443684
327.0,-225.0527109416414
327.5,-219.29528729335163
328.0,-223.9320655332323
328.5,-227.74561773113086
329.0,-229.32125568023196
329.5,-232.57823691617045
330.0,-236.1709052894289
330.5,-237.5144655137122
331.0,-240.2951017451658
331.5,-241.84638944412285
332.0,-240.33304123861262
332.5,-242.36540690919404
333.0,-243.29809003115747
333.5,-240.29561760972453
334.0,-238.56939410628763
334.5,-245.0386170519003
335.0,-239.497199963333
335.5,-245.75402740113324
336.0,-255.51879155657952
336.5,-255.16972801518045
337.0,-254.57745056789804
337.5,-257.43174720789875
338.0,-255.27805957248836
338.5,-254.01015828098596
339.0,-257.2432221601166
339.5,-255.63747647950413
340.0,-253.85764995875005
340.5,-256.18438670518395
341.0,-256.18804465387234
341.5,-253.0024403141337
342.0,-259.2968990665541
342.5,-260.8645913615445
343.0,-253.2041974682175
343.5,-255.37865316141688
344.0,-251.73416384840732
344.5,-248.04713915770196
345.0,-253.6957622809035
345.5,-257.68030590350287
346.0,-252.6375400915303
346.5,-253.35060199441648
347.0,-258.8080738502645
347.5,-255.12273744356918
348.0,-258.78631374524684
348.5,-261.1421914280762
349.0,-255.31013696867842
349.5,-254.21575375598067
350.0,-260.7031654365892
350.5,-255.94193036263883
351.0,-257.7806592366301
351.5,-261.86715068281
352.0,-258.5233166139128
352.5,-260.8336394880279
353.0,-259.6938132973943
353.5,-256.18982673143853
354.0,-260.9994664952312
354.5,-260.95854364521165
355.0,-254.75758830729714
355.5,-261.5404417532767
356.0,-263.9810078023845
356.5,-260.4325313453211
357.0,-265.0424846281545
357.5,-267.70312643434227
358.0,-261.244455263792
358.5,-265.3402322720271
359.0,-268.99937863190155
359.5,-263.82654496673746
360.0,-261.8608087954394
360.5,-267.5597629838278
361.0,-260.74875631974805
361.5,-263.71740894931446
362.0,-268.3453778098092
362.5,-264.05826194710846
363.0,-265.51586070584426
363.5,-267.6799125292047
364.0,-267.8940432178054
