,force
70.5,-17.247272178252235
71.0,-14.440968979424724
71.5,-16.966641858369364
72.0,-17.80853281801774
72.5,-19.465302193154162
73.0,-24.675721822207077
73.5,-25.831258433488983
74.0,-15.381905934325914
74.5,-20.60658218390745
75.0,-25.831258433488983
75.5,-15.381905934325914
76.0,-18.53899703300705
76.5,-22.958924571160424
77.0,-15.381905934325914
77.5,-17.713296284120993
78.0,-22.958924571160424
78.5,-20.302691062109055
79.0,-20.302691062109055
79.5,-22.958924571160424
80.0,-20.767531926193318
80.5,-20.037067711204145
81.0,-22.958924571160424
81.5,-21.254508069519296
82.0,-20.037067711204145
82.5,-23.899861526060704
83.0,-21.968464618632424
83.5,-20.037067711204145
84.0,-23.899861526060704
84.5,-19.404697126128546
85.0,-12.212434086238318
85.5,-12.658141064875963
86.0,-12.546714320216536
86.5,-12.212434086238318
87.0,-12.583856568436355
87.5,-12.658141064875963
88.0,-12.658141064875963
88.5,-19.933519625257524
89.0,-23.949384523687513
89.5,-23.949384523687513
90.0,-23.949384523687513
90.5,-23.949384523687513
91.0,-24.320807005885246
91.5,-26.17791941687392
92.0,-26.17791941687392
92.5,-24.13509576478622
93.0,-26.260457746251024
93.5,-26.425534405005237
94.0,-26.198553999218177
94.5,-23.44177379801665
95.0,-13.475270525710584
95.5,-11.717204109974773
96.0,-11.717204109974773
96.5,-11.158944864004837
97.0,-10.18199118355733
97.5,-11.589269699440095
98.0,-11.717204109974773
98.5,-11.717204109974773
99.0,-11.717204109974773
99.5,-11.384049398670381
100.0,-8.052502285623632
100.5,-17.03521216277531
101.0,-21.027527663731234
101.5,-10.726744157447683
102.0,-13.671111470869638
102.5,-20.58182068509435
103.0,-20.21039820289631
103.5,-16.124750898721686
104.0,-16.124750898721686
104.5,-16.124750898721686
105.0,-16.124750898721686
105.5,-16.124750898721686
106.0,-13.900342922003174
106.5,-14.09430799603997
107.0,-15.679043920084041
107.5,-15.679043920084041
108.0,-15.679043920084041
108.5,-14.688583967556497
109.0,-13.698124015028952
109.5,-15.852374411776209
110.0,-17.065687853622574
110.5,-10.57367307387484
111.0,-15.010483452128675
111.5,-15.679043920084041
112.0,-15.679043920084041
112.5,-17.380834202154087
113.0,-18.010434269879486
113.5,-17.75900982039184
114.0,-17.75900982039184
114.5,-17.75900982039184
115.0,-15.28736202976604
115.5,-8.696301254765785
116.0,-8.696301254765785
116.5,-8.696301254765785
117.0,-11.35253476381678
117.5,-17.89995989055915
118.0,-14.540014974677433
118.5,-14.540014974677433
119.0,-17.187244302341533
119.5,-14.981219862621142
120.0,-9.54644604735222
120.5,-14.540014974677433
121.0,-14.540014974677433
121.5,-11.589269699439834
122.0,-14.540014974677433
122.5,-13.468517389670808
123.0,-12.85623305538138
