,holder1
117.0,12.094822534701773
117.5,13.694846808391551
118.0,17.199161651793876
118.5,14.882677262531152
119.0,16.994973080141403
119.5,22.686835032709382
120.0,19.236357690514737
120.5,24.429425511687178
121.0,28.650229330217826
121.5,23.883781499014347
122.0,24.039947769938173
122.5,27.349125119852495
123.0,18.519839855830746
123.5,14.191202307328814
124.0,26.297886942965977
124.5,15.117882641700865
125.0,14.957683247864216
125.5,25.32393465631361
126.0,17.882353914503256
126.5,14.43581590166499
127.0,23.465806388963728
127.5,16.228961107386205
128.0,9.013329042246236
128.5,16.088599050667195
129.0,9.149769806831848
129.5,2.9506506581504612
130.0,11.119088170484009
130.5,4.320884326813671
131.0,-1.0038732545826017
131.5,-0.5373873958221793
132.0,-4.304511783446165
132.5,-11.29696208182127
133.0,-16.026830426141792
133.5,-20.131330235095334
134.0,-32.01985827410807
134.5,-34.962616667298306
135.0,-38.896747696466115
135.5,-44.17418282135996
136.0,-45.25158940040175
136.5,-45.70967712844562
137.0,-50.21566025433028
137.5,-53.13493779149263
138.0,-62.05058527602584
138.5,-67.63767261153001
139.0,-69.30006960003323
139.5,-71.24892653867585
140.0,-74.5755819570267
140.5,-77.11002453346765
141.0,-78.20056221036495
141.5,-85.95701874237182
142.0,-93.31234548700535
142.5,-97.84276183425708
143.0,-100.7136418964669
143.5,-100.82427139589923
144.0,-101.58223876749534
144.5,-103.84597149633424
145.0,-106.57231568857742
145.5,-108.34232996038409
146.0,-113.60270548039955
146.5,-120.1763206539629
147.0,-125.97773348006882
147.5,-133.77899086489663
148.0,-132.04570759264035
148.5,-133.03041006380022
149.0,-139.54075066143383
149.5,-138.99299629374826
150.0,-136.20488904480618
150.5,-145.93465738148944
151.0,-142.17544411957869
151.5,-137.3080599922228
152.0,-148.80474019847253
152.5,-149.8462959944127
153.0,-143.46558891365737
153.5,-151.2376512504231
154.0,-151.88388885202528
154.5,-145.2931094576935
155.0,-155.56214384523452
155.5,-158.7190004600251
156.0,-156.60292404061508
156.5,-160.8866633352959
